name,name_ko,stage,type,personality,image_url,description,cute,cool,strong,dark,bright,kind,leader,mysterious
Agumon,아구몬,성장기,용형,밝음|용감함|친근함,images/agumon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,80,60,70,20,90,85,75,30
Gabumon,파피몬,성장기,디지몬,밝음|용감함|친근함,images/gabumon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,70,60,50,30,80,75,40,20
Patamon,파닥몬,성장기,공룡형,밝음|용감함|친근함,images/patamon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,90,40,30,10,80,85,50,20
Tentomon,텐타몬,성장기,천사형,밝음|용감함|친근함,images/tentomon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,80,40,30,10,70,90,50,20
Palmon,팔몬,성장기,공룡형,밝음|용감함|친근함,images/palmon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,85,40,30,10,90,80,20,25
Gatomon,가트몬,성숙기,공룡형,밝음|용감함|친근함,images/gatomon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,90,70,60,20,80,85,65,40
Greymon,그레이몬,성숙기,식물형,용감함|친근함|강함,images/greymon.png,강력하고 용감한 분위기를 가진 친근한 디지몬입니다.,30,70,90,20,50,60,80,30
Garurumon,가루몬,성숙기,천사형,용감함|친근함|신비로움,images/garurumon.png,강렬한 외형과 함께 용감하고 친근한 느낌을 주는 디지몬입니다.,30,80,70,40,50,60,70,60
Angemon,엔젤몬,성숙기,곤충형,용감함|신비로움|친근함,images/angemon.png,강력하면서도 친근한 분위기를 가진 디지몬입니다.,20,80,90,40,60,70,85,75
Devimon,데블몬,성숙기,용형,어둠|강함|신비로움,images/devimon.png,어두운 분위기와 강력한 힘을 지닌 신비로운 디지몬입니다.,10,80,90,95,5,15,70,85
WarGreymon,워그레이몬,궁극체,식물형,용감함|강함|리더십,images/wargreymon.png,"강력하고 용감한 분위기를 지닌 디지몬으로, 전투에서의 리더십이 돋보입니다.",20,90,95,30,40,50,90,60
MetalGarurumon,메탈가루몬,궁극체,디지몬,용감함|강함|친근함,images/metalgarurumon.png,강력하고 용감한 모습이 인상적인 디지몬입니다.,20,85,90,30,40,50,70,60
Omnimon,오메가몬,궁극체,사이보그형,용감함|강함|리더십,images/omnimon.png,강력하고 카리스마 있는 분위기가 느껴지는 디지몬입니다.,20,90,95,30,40,50,90,60
Veemon,브이몬,궁극체,식물형,밝음|용감함|친근함,images/veemon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,80,70,60,10,90,85,75,20
Guilmon,길몬,성숙기,천사형,밝음|용감함|친근함,images/guilmon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,70,80,75,20,60,65,50,30
Renamon,레나몬,성장기,마인형,신비로움|용감함|친근함,images/renamon.png,신비로운 분위기를 가진 용감하고 친근한 디지몬입니다.,60,80,70,30,50,70,60,90
Impmon,임프몬,궁극체,디지몬,장난기|용감함|친근함,images/impmon.png,장난기 가득한 모습으로 용감하고 친근한 디지몬입니다.,70,60,50,40,50,60,30,40
Terriermon,테리어몬,성숙기,마인형,밝음|용감함|친근함,images/terriermon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,90,50,40,10,80,85,60,20
Angewomon,엔젤우몬,성장기,천사형,밝음|용감함|친근함,images/angewomon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,60,80,70,30,70,80,75,50
LadyDevimon,레이디데블몬,성장기,디지몬,어둠|강함|신비로움,images/ladydevimon.png,어두운 분위기와 강력한 힘을 가진 신비로운 디지몬입니다.,10,80,70,90,20,15,60,85
Koromon,Koromon,유년기,마인형,밝음|용감함|친근함,images/koromon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,90,30,20,10,80,85,25,15
Tsunomon,Tsunomon,유년기,곤충형,밝음|용감함|친근함,images/tsunomon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,80,40,30,10,70,90,20,15
Tokomon,Tokomon,유년기,곤충형,밝음|용감함|친근함,images/tokomon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,80,30,20,10,70,90,20,30
Motimon,Motimon,유년기,천사형,밝음|용감함|친근함,images/motimon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,90,20,10,5,80,85,15,10
Tanemon,Tanemon,유년기,마인형,밝음|용감함|친근함,images/tanemon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,90,20,10,5,85,80,15,10
Salamon,Salamon,완전체,마인형,밝음|용감함|친근함,images/salamon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,90,30,20,10,80,85,40,20
WereGarurumon,WereGarurumon,완전체,식물형,강함|용감함|친근함,images/weregarurumon.png,강하고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,30,80,90,60,40,70,75,50
MagnaAngemon,MagnaAngemon,완전체,용형,밝음|용감함|친근함,images/magnaangemon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,20,90,85,30,70,60,80,40
Lillymon,Lillymon,완전체,마인형,밝음|용감함|친근함,images/lillymon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,80,60,50,20,90,85,70,40
Zudomon,Zudomon,성숙기,디지몬,강함|용감함|친근함,images/zudomon.png,강력하면서도 친근한 매력을 가진 디지몬입니다.,30,70,90,20,40,60,50,30
Garudamon,Garudamon,성숙기,디지몬,용감함|강함|친근함,images/garudamon.png,강력하고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,30,80,90,20,60,70,85,40
Phoenixmon,Phoenixmon,성숙기,천사형,밝음|용감함|친근함,images/phoenixmon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,30,80,90,20,70,60,75,40
Seraphimon,Seraphimon,성장기,사이보그형,용감함|친절함|신비로움,images/seraphimon.png,강력하면서도 신비로운 분위기를 가진 디지몬입니다.,20,90,85,30,70,75,90,80
